"time","device_id","Transversal","Longitudinal","Vertical","Hit"
2022-09-23 10:22:40.071,nrf-351358817716811,6.53,3.49,2.84,SAFE
2022-09-23 10:22:40.071,nrf-351358817716811,2.88,3.16,6.48,SAFE
2022-09-23 10:22:40.071,nrf-351358817716811,3.01,3.90,5.81,SAFE
2022-09-23 10:22:40.071,nrf-351358817716811,2.66,2.38,2.64,SAFE
2022-09-23 10:22:40.071,nrf-351358817716811,2.63,2.22,2.34,SAFE
2022-09-23 10:22:40.071,nrf-351358817716811,3.38,2.61,2.18,SAFE
2022-09-23 10:22:40.071,nrf-351358817716811,3.55,2.64,2.21,SAFE
2022-09-23 10:22:40.071,nrf-351358817716811,3.25,2.67,2.37,SAFE
2022-09-23 10:22:40.071,nrf-351358817716811,3.38,2.61,2.22,SAFE
2022-09-23 10:22:40.071,nrf-351358817716811,3.44,2.52,2.02,SAFE
2022-09-23 10:09:10.584,nrf-351358817716811,0.450,0.272,9.13,SAFE
2022-09-23 10:09:10.584,nrf-351358817716811,0.471,0.312,9.08,SAFE
2022-09-23 10:09:10.584,nrf-351358817716811,0.372,0.334,9.10,SAFE
2022-09-23 10:09:10.584,nrf-351358817716811,0.482,0.307,9.05,SAFE
2022-09-23 10:09:10.584,nrf-351358817716811,0.512,0.337,9.05,SAFE

