id, switch
nrf-350916066831887, 73W1
nrf-350916066832091, 73W20
nrf-350916066832364, 73W2
nrf-350916066832430, 73W2
nrf-350916066832620, 73W2
nrf-350916066832638, 73W1
nrf-350916066832703, 73W1
nrf-350916066832869, 73W20
nrf-350916066833057, 73W20
nrf-350916066833099, 73W2
nrf-350916066833404, 73W1
nrf-350916066833420, 73W20
nrf-350916066832695, 73W25H
nrf-350916066832406, 74W25Z
nrf-350916066832646, 74W35H
nrf-350916066832711, 74W25Z
nrf-350916066832877, 74W35Z
nrf-350916066832935, 74W25Z
nrf-350916066832943, 74W35Z
nrf-350916066833198, 74W25H
nrf-350916066833206, 74W35H
nrf-350916066833214, 74W35Z
nrf-350916066833339, 74W25Z
nrf-350916066833487, 74W35Z

